,Season,Team1,Team2,TossWinner,TossDecision,SuperOver,WinningTeam,HomeTeam
0,2022,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,N,Gujarat Titans,Gujarat Titans
1,2022,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,N,Rajasthan Royals,Gujarat Titans
2,2022,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,N,Royal Challengers Bangalore,Kolkata Knight Riders
3,2022,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,N,Gujarat Titans,Kolkata Knight Riders
4,2022,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,N,Punjab Kings,Mumbai Indians
5,2022,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,N,Mumbai Indians,Mumbai Indians
6,2022,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,N,Rajasthan Royals,Mumbai Indians
7,2022,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,N,Royal Challengers Bangalore,Mumbai Indians
8,2022,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,N,Lucknow Super Giants,Mumbai Indians
9,2022,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,N,Sunrisers Hyderabad,Mumbai Indians
10,2022,Delhi Capitals,Punjab Kings,Punjab Kings,field,N,Delhi Capitals,Mumbai Indians
11,2022,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,N,Rajasthan Royals,Mumbai Indians
12,2022,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,N,Gujarat Titans,Mumbai Indians
13,2022,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,N,Kolkata Knight Riders,Chennai Super Kings
14,2022,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,Punjab Kings,Mumbai Indians
15,2022,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,N,Mumbai Indians,Mumbai Indians
16,2022,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,N,Delhi Capitals,Mumbai Indians
17,2022,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,N,Gujarat Titans,Chennai Super Kings
18,2022,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,N,Kolkata Knight Riders,Mumbai Indians
19,2022,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,N,Chennai Super Kings,Mumbai Indians
20,2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,N,Royal Challengers Bangalore,Mumbai Indians
21,2022,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,N,Lucknow Super Giants,Chennai Super Kings
22,2022,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,N,Rajasthan Royals,Mumbai Indians
23,2022,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,N,Mumbai Indians,Mumbai Indians
24,2022,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,Delhi Capitals,Mumbai Indians
25,2022,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,N,Royal Challengers Bangalore,Chennai Super Kings
26,2022,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,N,Punjab Kings,Mumbai Indians
27,2022,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,N,Kolkata Knight Riders,Mumbai Indians
28,2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,Chennai Super Kings,Chennai Super Kings
29,2022,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,N,Lucknow Super Giants,Mumbai Indians
30,2022,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,N,Mumbai Indians,Mumbai Indians
31,2022,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,bat,N,Gujarat Titans,Mumbai Indians
32,2022,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,N,Lucknow Super Giants,Chennai Super Kings
33,2022,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,N,Delhi Capitals,Mumbai Indians
34,2022,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,N,Gujarat Titans,Mumbai Indians
35,2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,Rajasthan Royals,Chennai Super Kings
36,2022,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,N,Punjab Kings,Mumbai Indians
37,2022,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,N,Lucknow Super Giants,Mumbai Indians
38,2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Mumbai Indians
39,2022,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,N,Gujarat Titans,Mumbai Indians
40,2022,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,N,Rajasthan Royals,Mumbai Indians
41,2022,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,N,Chennai Super Kings,Mumbai Indians
42,2022,Punjab Kings,Delhi Capitals,Delhi Capitals,field,N,Delhi Capitals,Mumbai Indians
43,2022,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,N,Royal Challengers Bangalore,Mumbai Indians
44,2022,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,N,Rajasthan Royals,Mumbai Indians
45,2022,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,N,Gujarat Titans,Chennai Super Kings
46,2022,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Mumbai Indians
47,2022,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,N,Royal Challengers Bangalore,Mumbai Indians
48,2022,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,N,Lucknow Super Giants,Mumbai Indians
49,2022,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Mumbai Indians
50,2022,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,N,Gujarat Titans,Mumbai Indians
51,2022,Punjab Kings,Mumbai Indians,Mumbai Indians,field,N,Punjab Kings,Chennai Super Kings
52,2022,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,Chennai Super Kings,Mumbai Indians
53,2022,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Mumbai Indians
54,2022,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,N,Rajasthan Royals,Mumbai Indians
55,2022,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,N,Delhi Capitals,Mumbai Indians
56,2022,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Chennai Super Kings
57,2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Mumbai Indians
58,2022,Punjab Kings,Gujarat Titans,Gujarat Titans,field,N,Gujarat Titans,Mumbai Indians
59,2022,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,N,Lucknow Super Giants,Mumbai Indians
60,2022,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,N,Kolkata Knight Riders,Chennai Super Kings
